"month","category","revenue"
"2017-06-01 00:00:00+07","tablets_impressao_imagem","679.17"
"2017-06-01 00:00:00+07","telefonia","9177.40"
"2017-06-01 00:00:00+07","telefonia_fixa","1141.43"
"2017-06-01 00:00:00+07","Unknown","6427.68"
"2017-06-01 00:00:00+07","utilidades_domesticas","29651.19"
"2017-07-01 00:00:00+07","agro_industria_e_comercio","1199.47"
"2017-07-01 00:00:00+07","alimentos","754.19"
"2017-07-01 00:00:00+07","alimentos_bebidas","261.68"
"2017-07-01 00:00:00+07","artes","424.90"
"2017-07-01 00:00:00+07","artes_e_artesanato","145.56"
"2017-07-01 00:00:00+07","artigos_de_festas","83.41"
"2017-07-01 00:00:00+07","artigos_de_natal","98.05"
"2017-07-01 00:00:00+07","audio","883.23"
"2017-07-01 00:00:00+07","automotivo","16455.05"
"2017-07-01 00:00:00+07","bebes","18222.97"
"2017-07-01 00:00:00+07","bebidas","348.08"
"2017-07-01 00:00:00+07","beleza_saude","40276.47"
"2017-07-01 00:00:00+07","brinquedos","28179.86"
"2017-07-01 00:00:00+07","cama_mesa_banho","74560.35"
"2017-07-01 00:00:00+07","casa_conforto","5401.43"
"2017-07-01 00:00:00+07","casa_conforto_2","28.00"
"2017-07-01 00:00:00+07","casa_construcao","123.80"
"2017-07-01 00:00:00+07","cds_dvds_musicais","299.38"
"2017-07-01 00:00:00+07","climatizacao","1493.13"
"2017-07-01 00:00:00+07","consoles_games","6553.58"
"2017-07-01 00:00:00+07","construcao_ferramentas_construcao","822.97"
"2017-07-01 00:00:00+07","construcao_ferramentas_iluminacao","401.45"
"2017-07-01 00:00:00+07","construcao_ferramentas_jardim","473.37"
"2017-07-01 00:00:00+07","cool_stuff","42328.60"
"2017-07-01 00:00:00+07","dvds_blu_ray","830.99"
"2017-07-01 00:00:00+07","eletrodomesticos","4336.18"
"2017-07-01 00:00:00+07","eletrodomesticos_2","1306.88"
"2017-07-01 00:00:00+07","eletronicos","9103.81"
"2017-07-01 00:00:00+07","eletroportateis","4725.35"
"2017-07-01 00:00:00+07","esporte_lazer","44746.96"
"2017-07-01 00:00:00+07","fashion_bolsas_e_acessorios","6315.45"
"2017-07-01 00:00:00+07","fashion_calcados","1606.71"
"2017-07-01 00:00:00+07","fashion_esporte","77.68"
"2017-07-01 00:00:00+07","fashion_roupa_feminina","364.40"
"2017-07-01 00:00:00+07","fashion_roupa_masculina","860.33"
"2017-07-01 00:00:00+07","fashion_underwear_e_moda_praia","314.48"
"2017-07-01 00:00:00+07","ferramentas_jardim","24203.06"
"2017-07-01 00:00:00+07","industria_comercio_e_negocios","352.25"
"2017-07-01 00:00:00+07","informatica_acessorios","44476.44"
"2017-07-01 00:00:00+07","instrumentos_musicais","8030.27"
"2017-07-01 00:00:00+07","la_cuisine","559.23"
"2017-07-01 00:00:00+07","livros_interesse_geral","1545.28"
"2017-07-01 00:00:00+07","livros_tecnicos","580.88"
"2017-07-01 00:00:00+07","malas_acessorios","10305.01"
"2017-07-01 00:00:00+07","market_place","1799.95"
"2017-07-01 00:00:00+07","moveis_colchao_e_estofado","178.53"
"2017-07-01 00:00:00+07","moveis_cozinha_area_de_servico_jantar_e_jardim","1657.56"
"2017-07-01 00:00:00+07","moveis_decoracao","30630.86"
"2017-07-01 00:00:00+07","moveis_escritorio","21267.13"
"2017-07-01 00:00:00+07","moveis_quarto","1596.63"
"2017-07-01 00:00:00+07","moveis_sala","5375.86"
"2017-07-01 00:00:00+07","musica","350.54"
"2017-07-01 00:00:00+07","papelaria","8275.58"
"2017-07-01 00:00:00+07","perfumaria","14710.03"
"2017-07-01 00:00:00+07","pet_shop","8318.98"
"2017-07-01 00:00:00+07","relogios_presentes","38362.70"
"2017-07-01 00:00:00+07","sinalizacao_e_seguranca","684.79"
"2017-07-01 00:00:00+07","tablets_impressao_imagem","219.63"
"2017-07-01 00:00:00+07","telefonia","11204.83"
"2017-07-01 00:00:00+07","telefonia_fixa","348.27"
"2017-07-01 00:00:00+07","Unknown","3881.75"
"2017-07-01 00:00:00+07","utilidades_domesticas","25429.49"
"2017-08-01 00:00:00+07","agro_industria_e_comercio","224.60"
"2017-08-01 00:00:00+07","alimentos","500.23"
"2017-08-01 00:00:00+07","alimentos_bebidas","728.95"
"2017-08-01 00:00:00+07","artes","317.06"
"2017-08-01 00:00:00+07","artigos_de_natal","76.88"
"2017-08-01 00:00:00+07","audio","1146.44"
